Entry	Entry name	Gene names
P0A9C9	GLPX_ECOLI	glpX b3925 JW3896
P23836	PHOP_ECOLI	phoP b1130 JW1116
P0AFC7	NUOB_ECOLI	nuoB b2287 JW5875
P31600	NFRA_ECOLI	nfrA b0568 JW0557
P0AGC3	SLT_ECOLI	slt sltY b4392 JW4355
P27844	RARD_ECOLI	rarD b3819 JW5589
P77735	YAJO_ECOLI	yajO b0419 JW0409
P0AFK2	PNUC_ECOLI	pnuC b0751 JW0734
P63340	YQEG_ECOLI	yqeG b2845 JW2813
P0AFZ7	TRKH_ECOLI	trkH b3849 JW5576
P04079	GUAA_ECOLI	guaA b2507 JW2491
P62723	YEIH_ECOLI	yeiH b2158 JW2145
P77717	YBAY_ECOLI	ybaY b0453 JW0443
P77756	QUEC_ECOLI	queC ybaX b0444 JW0434
P0ABH0	FTSA_ECOLI	ftsA divA b0094 JW0092
P39176	ERFK_ECOLI	erfK yeeG yzzT b1990 JW1968
P0AER0	GLPF_ECOLI	glpF b3927 JW3898
P0AAI9	FABD_ECOLI	fabD tfpA b1092 JW1078
P39830	YBAL_ECOLI	ybaL ylaA b0478 JW0467
P09831	GLTB_ECOLI	gltB aspB b3212 JW3179
P0AAK7	NRFC_ECOLI	nrfC yjcJ b4072 JW4033
P0AD27	YEJM_ECOLI	yejM yejN b2188 JW2176
P0A7B5	PROB_ECOLI	proB b0242 JW0232
P0CE44	UIDB_ECOLI	uidB gusB uidP b1616 JW1608
P0A927	TSX_ECOLI	tsx nupA b0411 JW0401
P09832	GLTD_ECOLI	gltD aspB b3213 JW3180
P38134	ETK_ECOLI	etk yccC b0981 JW0964
P09836	UHPC_ECOLI	uhpC b3667 JW3642
P0AAV6	YBGS_ECOLI	ybgS b0753 JW0736
P15028	FECB_ECOLI	fecB b4290 JW4250
P75780	FIU_ECOLI	fiu ybiL b0805 JW0790
P28904	TREC_ECOLI	treC olgH b4239 JW4198
P77538	YFHR_ECOLI	yfhR b2534 JW2518
P37028	BTUF_ECOLI	btuF yadT b0158 JW0154
P0A9H1	MUG_ECOLI	mug ygjF b3068 JW3040
P76027	OPPD_ECOLI	oppD b1246 JW1238
P0A6A0	UBIB_ECOLI	ubiB aarF yigQ yigR yigS b3835 JW3812
P33940	MQO_ECOLI	mqo yojH b2210 JW2198
P00968	CARB_ECOLI	carB pyrA b0033 JW0031
P37669	WECH_ECOLI	wecH yiaH b3561 JW3533
P0A8T7	RPOC_ECOLI	rpoC tabB b3988 JW3951
P27125	RHAT_ECOLI	rhaT b3907 JW3878
P76577	PBPC_ECOLI	pbpC yfgN b2519 JW2503
P0A8V6	FADR_ECOLI	fadR oleR thdB b1187 JW1176
P07821	FHUC_ECOLI	fhuC b0151 JW0147
P0A9D8	DAPD_ECOLI	dapD b0166 JW0161
P45468	YRAQ_ECOLI	yraQ b3151 JW3120
P21499	RNR_ECOLI	rnr vacB yjeC b4179 JW5741
Q46798	YGER_ECOLI	ygeR b2865 JW2833
P0AAT4	YBDG_ECOLI	ybdG mscM b0577 JW0566
P0A6J3	CYSZ_ECOLI	cysZ b2413 JW2406
P76142	LSRB_ECOLI	lsrB yneA b1516 JW1509
P37621	YHHS_ECOLI	yhhS b3473 JW5945
P0AAF3	ARAG_ECOLI	araG b1900 JW1888
P0AAX8	YBIS_ECOLI	ybiS b0819 JW0803
P0AE30	ARTM_ECOLI	artM b0861 JW0845
P0A817	METK_ECOLI	metK metX b2942 JW2909
P77783	YNFF_ECOLI	ynfF b1588 JW5260
P0AAS3	YBBJ_ECOLI	ybbJ b0488 JW5065
P0A8U6	METJ_ECOLI	metJ b3938 JW3909
P32664	NUDC_ECOLI	nudC yjaD b3996 JW5548
P0AFY8	SEQA_ECOLI	seqA b0687 JW0674
P61320	LOLB_ECOLI	lolB hemM ychC b1209 JW1200
P33013	DACD_ECOLI	dacD phsE yeeC b2010 JW5329
P06993	MALT_ECOLI	malT malA b3418 JW3381
P0A9P6	DEAD_ECOLI	deaD csdA mssB rhlD b3162 JW5531
P0ADK0	YIAF_ECOLI	yiaF b3554 JW5655
P0AEP1	GALP_ECOLI	galP b2943 JW2910
P39382	YJIK_ECOLI	yjiK b4333 JW5869
P0ADA5	YAJG_ECOLI	yajG b0434 JW0424
P0AAD4	TYRP_ECOLI	tyrP b1907 JW1895
P0ADF6	EDD_ECOLI	edd b1851 JW1840
P0ABU7	EXBB_ECOLI	exbB b3006 JW2974
